Adat,അടാട്ട്
Okkal,ഒക്കല്‍
Olavanna,ഒളവണ്ണ
Ollukkara,ഒല്ലൂക്കര
Omalloor,ഓമല്ലൂര്‍
Omassery,ഓമശ്ശേരി
Onchiyam,ഒഞ്ചിയം
Ongallur,ഓങ്ങല്ലൂര്‍
Oorakam,ഊരകം
Orumanayur,ഒരുമനയൂര്‍
Othukkungal,ഒതുക്കുങ്ങല്‍
Ottapalam,ഒറ്റപ്പാലം
Ottapalam,ഒറ്റപ്പാലം
Ottasekharamangalam,ഒറ്റശേഖരമംഗലം
Ottoor,ഒറ്റൂര്‍
Ozhur,ഒഴൂര്‍
Padinharathara,പടിഞ്ഞാറത്തറ
Padiyoor,പടിയൂര്‍
Padiyur,പടിയൂര്‍
Padne,പടന്ന
Paingottoor,പൈങ്ങോട്ടൂര്‍
Paippad,പായിപ്പാട്
Paipra,പായിപ്ര
Paivalike,പൈവളികെ
Pala,പാലാ
Palakkad,പാലക്കാട്
Palakkad,പാലക്കാട്
Palakuzha,പാലക്കുഴ
Palamel,പാലമേല്‍
Pallarimangalam,പല്ലാരിമംഗലം
Pallassana,പല്ലശ്ശന
Pallichal,പള്ളിച്ചല്‍
Pallickal,പള്ളിക്കല്‍
Pallickal,പള്ളിയ്ക്കല്‍
Pallickathodu,പള്ളിക്കത്തോട്
Pallikere,പള്ളിക്കര
Pallikkal,പള്ളിക്കല്‍
Pallippad,പള്ളിപ്പാട്
Pallippuram,പള്ളിപ്പുറം
Pallivasal,പള്ളിവാസല്‍
Pallom,പള്ളം
Palluruthy,പള്ളുരുത്തി
Pampadumpara,പാമ്പാടുംപാറ
Pampady,പാമ്പാടി
Pampady,പാമ്പാടി
Pampakuda,പാമ്പാക്കുട
Pampakuda,പാമ്പാക്കുട
Panachikkad,പനച്ചിക്കാട്
Panamaram,പനമരം
Pananchery,പാണഞ്ചരി
Panangad,പനങ്ങാട്
Panathady,പനത്തടി
Panavally,പാണാവള്ളി
Panavoor,പനവൂര്‍
Panayam,പനയം
Pandalam,പന്തളം
Pandalam Thekkekara,പന്തളം തെക്കേക്കര
Pandanad,പാണ്ടനാട്
Pandikkad,പാണ്ടിക്കാട്
Pangode,പാങ്ങോട്
Panjal,പാഞ്ഞാള്‍
Panmana,പന്‍മന
Panniyannur,പന്ന്യന്നൂര്‍
Panthalayani,പന്തലായനി
Pappinisseri,പാപ്പിനിശ്ശേരി
Parakkadavu,പാറക്കടവ്
Parakkadavu,പാറക്കടവ്
Parakkode,പറക്കോട്
Paralam,പാറളം
Parali,പറളി
Parappukkara,പറപ്പൂക്കര
Parappur,പറപ്പൂര്‍
Parassala,പാറശ്ശാല
Parassala,പാറശ്ശാല
Parathodu,പാറത്തോട്
Paravur,പരവൂര്‍
Paravur,പറവൂര്‍
Pariyaram,പരിയാരം
Pariyaram,പരിയാരം
Paruthur,പരുതൂര്‍
Pathanamthitta,പത്തനംതിട്ട
Pathanapuram,പത്തനാപുരം
Pathanapuram,പത്തനാപുരം
Pathiyoor,പത്തിയൂര്‍
Pattambi,പട്ടാമ്പി
Pattanakkad,പട്ടണക്കാട്
Pattanakkad,പട്ടണക്കാട്
Pattanchery,പട്ടഞ്ചരി
Pattazhi,പട്ടാഴി
Pattazhi Vadakkekara,പട്ടാഴി വടക്കേക്കര
Pattiam,പാട്യം
Pattithara,പട്ടിത്തറ
Pattuvam,പട്ടുവം
Pavaratty,പാവറട്ടി
Pavithreswaram,പവിത്രേശ്വരം
Payam,പായം
Payyannur,പയ്യന്നൂര്‍
Payyannur,പയ്യന്നൂര്‍
Payyavoor,പയ്യാവൂര്‍
Pazhayakunnumel,പഴയകുന്നുമ്മേല്‍
Pazhayannur,പഴയന്നൂര്‍
Pazhayannur,പഴയന്നൂര്‍
Peermade,പീരുമേട്
Peralassery,പെരളശ്ശേരി
Perambra,പേരാമ്പ്ര
Perambra,പേരാമ്പ്ര
Peravoor,പേരാവൂര്‍
Peravoor,പേരാവൂര്‍
Perayam,പേരയം
Perinad,പെരിനാട്
Peringammala,പെരിങ്ങമ്മല
Peringara,പെരിങ്ങര
Peringome Vayakkara,പെരിങ്ങോം വയക്കര
Peringottukurissi,പെരിങ്ങോട്ടുകുറിശ്ശി
Perinjanam,പെരിഞ്ഞനം
Perinthalmanna,പെരിന്തല്‍മണ്ണ
Perinthalmanna,പെരിന്തല്‍മണ്ണ
Perumanna,പെരുമണ്ണ
Perumanna Klari,പെരുമണ്ണ ക്ളാരി
Perumatty,പെരുമാട്ടി
Perumbavoor,പെരുമ്പാവൂര്‍
Perumkadavila,പെരുങ്കടവിള
Perumkadavila,പെരുങ്കടവിള
Perumpadappa,പെരുമ്പടപ്പ്
Perumpadappa,പെരുമ്പടപ്പ്
Perumpalam,പെരുമ്പളം
Peruvalloor,പെരുവള്ളൂര്‍
Peruvanthanam,പെരുവന്താനം
Peruvayal,പെരുവയല്‍
Peruvemba,പെരുവെമ്പ്
Pilicode,പിലിക്കോട്
Pinarayi,പിണറായി
Pindimana,പിണ്ടിമന
Piravanthoor,പിറവന്തൂര്‍
Pirayiri,പിരായിരി
Polpully,പൊല്‍പ്പുള്ളി
Ponmala,പൊന്‍മള
Ponmundam,പൊന്മുണ്ടം
Ponnani,പൊന്നാനി
Ponnani,പൊന്നാനി
Pookkottukavu,പൂക്കോട്ടുകാവ്
Pookkottur,പൂക്കോട്ടൂര്‍
Poomangalam,പൂമംഗലം
Poonjar,പൂഞ്ഞാര്‍
Poonjar Thekkekara,പൂഞ്ഞാര്‍ തെക്കേക്കര
Poothadi,പൂതാടി
Poothakulam,പൂതക്കുളം
Poothrikka,പൂത്തൃക്ക
Poovachal,പൂവച്ചല്‍
Poovar,പൂവാര്‍
Pooyappally,പൂയപ്പള്ളി
Porkulam,പോര്‍ക്കുളം
Porur,പോരൂര്‍
Poruvazhy,പോരുവഴി
Pothanicad,പോത്താനിക്കാട്
Pothencode,പോത്തന്‍കോട്
Pothukallu,പോത്തുകല്ല്
Poyya,പൊയ്യ
Pozhuthana,പൊഴുതന
Pramadom,പ്രമാടം
Puducode,പുതുക്കോട്
Pudukad,പുതുക്കാട്
Pudunagaram,പുതുനഗരം
Puduppady,പുതുപ്പാടി
Puduppariyaram,പുതുപ്പരിയാരം
Pudur,പുതൂര്‍
Pudusseri,പുതുശ്ശേരി
Pulamanthole,പുലാമന്തോള്‍
Pulikeezhu,പുളിക്കീഴ്
Pulikkal,പുളിക്കല്‍
Pulimath,പുളിമാത്ത്
Pulincunnoo,പുളിങ്കുന്ന്
Puliyoor,പുലിയൂര്‍
Pullampara,പുല്ലമ്പാറ
PullurPeriya,പുല്ലൂര്‍ പെരിയ
Pulpally,പുല്‍പ്പള്ളി
Pulpatta,പുല്‍പ്പറ്റ
Punalur,പുനലൂര്‍
Punnapra North,പുന്നപ്ര വടക്ക്
Punnapra South,പുന്നപ്ര തെക്ക്
Punnayur,പുന്നയൂര്‍
Punnayurkulam,പുന്നയൂര്‍ക്കുളം
Purakkad,പുറക്കാട്
Puramattom,പുറമറ്റം
Purameri,പുറമേരി
Purapuzha,പുറപ്പുഴ
Purathur,പുറത്തൂര്‍
Puthenchira,പുത്തന്‍ചിറ
Puthenvelikkara,പുത്തന്‍വേലിക്കര
Puthige,പുത്തിഗെ
Puthuppally,പുതുപ്പള്ളി
Puthur,പുത്തൂര്‍
Puzhakkal,പുഴയ്ക്കല്‍
Puzhakkattiri,പുഴക്കാട്ടിരി
Rajakkad,രാജക്കാട്
Rajakumary,രാജകുമാരി
Ramamangalam,രാമമംഗലം
Ramankary,രാമങ്കരി
Ramanthali,രാമന്തളി
Ramapuram,രാമപുരം
Ranni,റാന്നി
Ranni,റാന്നി
Ranni Angadi,റാന്നി അങ്ങാടി
Ranni Pazhavangadi,റാന്നി പഴവങ്ങാടി
Ranni Perunadu,റാന്നി പെരുനാട്
Rayamangalam,രായമംഗലം
Santhanpara,ശാന്തന്‍പാറ
Sasthamcotta,ശാസ്താംകോട്ട
Sasthamcotta,ശാസ്താംകോട്ട
Seethathodu,സീതത്തോട്
Senapathy,സേനാപതി
Sholayoor,ഷോളയൂര്‍
Shoranur,ഷൊര്‍ണ്ണൂര്‍
Sooranad North,ശൂരനാട് നോര്‍ത്ത്
Sooranad South,ശൂരനാട് സൌത്ത്
Sreekrishnapuram,ശ്രീകൃഷ്ണപുരം
Sreekrishnapuram,ശ്രീകൃഷ്ണപുരം
Sreemoolanagaram,ശ്രീമൂലനഗരം
Sreenarayanapuram,ശ്രീനാരായണപുരം
Sulthan Bathery,സുല്‍ത്താന്‍ ബത്തേരി
Tachampara,തച്ചമ്പാറ
Tanalur,താനാളൂര്‍
Tanur,താനൂര്‍
Tarur,തരൂര്‍
Tavanur,തവനൂര്‍
Teekoy,തീക്കോയി
Thachanattukara,തച്ചനാട്ടുകര
Thakazhy,തകഴി
Thalakkad,തലക്കാട്
Thalakulathur,തലക്കുളത്തൂര്‍
Thalanad,തലനാട്
Thalappalam,തലപ്പലം
Thalassery,തലശ്ശേരി
Thalassery,തലശ്ശേരി
Thalavady,തലവടി
Thalavoor,തലവൂര്‍
Thalayazham,തലയാഴം
Thalayolaparambu,തലയോലപ്പറമ്പ്
Thalikulam,തളിക്കുളം
Thalikulam,തളിക്കുളം
Thalipparamba,തളിപ്പറമ്പ്
Thalipparamba,തളിപ്പറമ്പ്
Thamarassery,താമരശ്ശേരി
Thanneermukkom,തണ്ണീര്‍മുക്കം
Thannithodu,തണ്ണിത്തോട്
Thanniyam,താന്ന്യം
Thariode,തരിയോട്
Thavinhal,തവിഞ്ഞാല്‍
Thazhakara,തഴക്കര
Thazhava,തഴവ
Thazhekkode,താഴെക്കോട്
Thekkumbhagom,തെക്കുംഭാഗം
Thekkumkara,തെക്കുംകര
Thenhipalam,തേഞ്ഞിപ്പലം
Thenkara,തെങ്കര
Thenkurissi,തേങ്കുറിശ്ശി
Thenmala,തെന്മല
Thennala,തെന്നല
Thevalakkara,തേവലക്കര
Thidanad,തിടനാട്
Thikkodi,തിക്കോടി
Thillankery,തില്ലങ്കേരി
Thirumarady,തിരുമാറാടി
Thirumittacode,തിരുമിറ്റക്കോട്
Thirunavaya,തിരുനാവായ
Thirunelly,തിരുനെല്ലി
Thirupuram,തിരുപുറം
Thiruvali,തിരുവാലി
Thiruvalla,തിരുവല്ല
Thiruvallur,തിരുവള്ളൂര്‍
Thiruvambadi,തിരുവമ്പാടി
Thiruvananthapuram,തിരുവനന്തപുരം
Thiruvaniyoor,തിരുവാണിയൂര്‍
Thiruvanvandoor,തിരുവന്‍വണ്ടൂര്‍
Thiruvarppu,തിരുവാര്‍പ്പ്
Thiruvegappura,തിരുവേഗപ്പുറ
Thiruvilwamala,തിരുവില്വാമല
Thodannur,തോടന്നൂര്‍
Thodiyoor,തൊടിയൂര്‍
Thodupuzha,തൊടുപുഴ
Thodupuzha,തൊടുപുഴ
Tholicode,തൊളിക്കോട്
Tholur,തോളൂര്‍
Thondernad,തൊണ്ടര്‍നാട്
Thottappuzhassery,തോട്ടപ്പുഴശ്ശേരി
Thrickodithanam,തൃക്കൊടിത്താനം
Thrikkakara,തൃക്കാക്കര
Thrikkalangodu,തൃക്കലങ്ങോട്
Thrikkaruva,തൃക്കരുവ
Thrikkovilvattom,തൃക്കോവില്‍വട്ടം
Thrikkunnappuzha,തൃക്കുന്നപ്പുഴ
Thrikkur,തൃക്കൂര്‍
Thrissur,തൃശ്ശൂര്‍
Thumpamon,തുമ്പമണ്‍
Thuravoor,തുറവൂര്‍
Thuravoor,തുറവൂര്‍
Thurayur,തുറയൂര്‍
Thycattussery,തൈക്കാട്ടുശ്ശേരി
Thycattussery,തൈക്കാട്ടുശ്ശേരി
Tirur,തിരൂര്‍
Tirur,തിരൂര്‍
Tirurangadi,തിരൂരങ്ങാടി
Trikaripur,തൃക്കരിപ്പൂര്‍
Trikkaderi,തൃക്കടീരി
Triprangode,തൃപ്രങ്ങോട്
Triprangottoor,തൃപ്രങ്ങോട്ടൂര്‍
Tripunithura,തൃപ്പൂണിത്തുറ
Trithala,തൃത്താല
Trithala,തൃത്താല
Tuneri,തൂണേരി
Tuneri,തൂണേരി
Tuvvur,തുവ്വൂര്‍
TV Puram,ടി.വി.പുരം
Udayagiri,ഉദയഗിരി
Udayamperoor,ഉദയംപേരൂര്‍
Udayanapuram,ഉദയനാപുരം
Udma,ഉദുമ
Udumbanchola,ഉടുമ്പന്‍ചോല
Udumbanoor,ഉടുമ്പന്നൂര്‍
Ulikkal,ഉളിക്കല്‍
Ulliyeri,ഉള്ളിയേരി
Ummannoor,ഉമ്മന്നൂര്‍
Unnikulum,ഉണ്ണികുളം
Upputhara,ഉപ്പുതറ
Urangattiri,ഊര്‍ങ്ങാട്ടിരി
Uzhamalakkal,ഉഴമലയ്ക്കല്‍
Uzhavoor,ഉഴവൂര്‍
Uzhavoor,ഉഴവൂര്‍
Vadakara,വടകര
Vadakara,വടകര
Vadakarapathy,വടകരപ്പതി
Vadakkekkad,വടക്കേക്കാട്
Vadakkekkara,വടക്കേക്കര
Vadakkencheri,വടക്കഞ്ചരി
Vadaserikara,വടശ്ശേരിക്കര
Vadavannur,വടവന്നൂര്‍
Vadavucode,വടവുകോട്
Vadavucode Puthencruz,വടവുകോട് പുത്തന്‍കുരിശ്
Vaikom,വൈക്കം
Vaikom,വൈക്കം
Vakathanam,വാകത്താനം
Vakkom,വക്കം
Valakom,വാളകം
Valapad,വലപ്പാട്
Valapattanam,വളപട്ടണം
Valavannur,വളവന്നൂര്‍
Valayam,വളയം
Valiyaparamba,വലിയപറമ്പ
Vallachira,വല്ലച്ചിറ
Vallapuzha,വല്ലപ്പുഴ
VallatholNagar,വള്ളത്തോള്‍ നഗര്‍
Vallicode,വള്ളിക്കോട്
Vallikkunnu,വള്ളിക്കുന്ന്
Vallikunnam,വള്ളികുന്നം
Vamanapuram,വാമനപുരം
Vamanapuram,വാമനപുരം
Vandanmedu,വണ്ടന്‍മേട്
Vandazhy,വണ്ടാഴി
Vandiperiyar,വണ്ടിപ്പെരിയാര്‍
Vaniamkulam,വാണിയംകുളം
Vanimal,വാണിമല്‍
Vannappuram,വണ്ണപ്പുറം
Varandarappilly,വരന്തരപ്പിള്ളി
Varappetty,വാരപ്പെട്ടി
Varapuzha,വരാപ്പുഴ
Varavoor,വരവൂര്‍
Varkala,വര്‍ക്കല
Varkala,വര്‍ക്കല
Vatanapally,വാടാനപ്പള്ളി
Vathikudy,വാത്തിക്കുടി
Vattamkulam,വട്ടംകുളം
Vattavada,വട്ടവട
Vayalar,വയലാര്‍
Vazhakkad,വാഴക്കാട്
Vazhakulam,വാഴക്കുളം
Vazhakulam,വാഴക്കുളം
Vazhappally,വാഴപ്പള്ളി
Vazhathope,വാഴത്തോപ്പ്
Vazhayur,വാഴയൂര്‍
Vazhikkadavu,വഴിക്കടവ്
Vazhoor,വാഴൂര്‍
Vazhoor,വാഴൂര്‍
Vechoochira,വെച്ചൂച്ചിറ
Vechoor,വെച്ചൂര്‍
Veeyapuram,വീയപുരം
Veliancode,വെളിയങ്കോട്
Velinalloor,വെളിനല്ലൂര്‍
Veliyam,വെളിയം
Veliyanad,വെളിയനാട്
Veliyanad,വെളിയനാട്
Veliyannoor,വെളിയന്നൂര്‍
Vellamunda,വെള്ളമുണ്ട
Vellanad,വെള്ളനാട്
Vellanad,വെള്ളനാട്
Vellangallur,വെള്ളാങ്ങല്ലൂര്‍
Vellangallur,വെള്ളാങ്ങല്ലൂര്‍
Vellarada,വെള്ളറട
Vellathooval,വെള്ളത്തൂവല്‍
Vellavoor,വെള്ളാവൂര്‍
Vellinezhi,വെള്ളിനേഴി
Velliyamattom,വെളളിയാമറ്റം
Velloor,വെള്ളൂര്‍
Velom,വേളം
Velukara,വേളൂക്കര
Velur,വേലൂര്‍
Vembayam,വെമ്പായം
Vengad,വേങ്ങാട്
Venganoor,വെങ്ങാനൂര്‍
Vengappally,വേങ്ങപ്പള്ളി
Vengara,വേങ്ങര
Vengara,വേങ്ങര
Vengola,വെങ്ങോല
Vengoor,വേങ്ങൂര്‍
Venkitangu,വെങ്കിടങ്ങ്
Venmoney,വെണ്മണി
Vettathur,വെട്ടത്തൂര്‍
Vettikavala,വെട്ടിക്കവല
Vettikavala,വെട്ടിക്കവല
Vettom,വെട്ടം
Vettoor,വെട്ടൂര്‍
Vijayapuram,വിജയപുരം
Vilakkudy,വിളക്കുടി
Vilappil,വിളപ്പില്‍
Vilavoorkal,വിളവൂര്‍ക്കല്‍
Vilayur,വിളയൂര്‍
Villiappally,വില്യാപ്പള്ളി
Vithura,വിതുര
Vorkady,വോര്‍ക്കാടി
Vypin,വൈപ്പിന്‍
Vythiri,വൈത്തിരി
Wadakanchery,വടക്കാഞ്ചരി
Wandoor,വണ്ടൂര്‍
Wandoor,വണ്ടൂര്‍
West Eleri,വെസ്റ് എളേരി
West Kallada,വെസ്റ് കല്ലട
Yeroor,ഏരൂര്‍
